# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.96,1954.592,380.699,1.509e4,241.583,188.788,3.52,0.003,2.295,799.548,0.001,1.147
8.01,1971.351,377.045,1.509e4,241.546,188.788,3.517,4.547e-4,2.186,797.852,0.001,1.136
8.06,1987.945,373.429,1.509e4,241.483,188.788,3.513,0.003,2.078,796.172,0.001,1.126
8.11,2004.374,369.853,1.509e4,241.424,188.788,3.509,0.001,1.972,794.531,0.001,1.115
8.16,2020.642,366.322,1.509e4,241.354,188.788,3.504,9.841e-4,1.866,792.965,0.001,1.105
8.21,2036.749,362.835,1.509e4,241.271,188.788,3.499,0.003,1.761,791.415,0.001,1.095
8.26,2052.698,359.398,1.509e4,241.192,188.788,3.494,6.101e-4,1.657,789.88,0.001,1.084
8.31,2068.492,356.011,1.509e4,241.096,188.788,3.487,0.001,1.555,788.359,9.998e-4,1.074
8.36,2084.133,352.682,1.509e4,240.989,188.788,3.48,0.004,1.453,786.854,9.982e-4,1.064
8.41,2099.622,349.411,1.509e4,240.888,188.788,3.473,0.004,1.352,785.363,9.967e-4,1.055
8.46,2114.964,346.203,1.509e4,240.784,188.788,3.466,0.003,1.253,783.886,9.952e-4,1.045
8.51,2130.161,343.058,1.509e4,240.688,188.788,3.46,1.802e-4,1.154,782.424,9.937e-4,1.036
8.56,2145.215,339.981,1.509e4,240.577,188.788,3.453,7.787e-4,1.056,780.975,9.922e-4,1.027
8.61,2160.13,336.972,1.509e4,240.46,188.788,3.445,0.003,0.959,779.539,9.907e-4,1.018
8.66,2174.909,334.034,1.509e4,240.351,188.788,3.438,0.003,0.863,778.116,9.893e-4,1.009
8.71,2189.555,331.167,1.509e4,240.24,188.788,3.43,0.002,0.768,776.707,9.878e-4,1.001
8.76,2204.071,328.373,1.509e4,240.128,188.788,3.423,8.457e-4,0.674,775.31,9.864e-4,0.993
8.81,2218.46,325.651,1.509e4,240.007,188.788,3.415,0.003,0.58,773.925,9.849e-4,0.985
8.86,2232.726,322.995,1.509e4,239.903,188.788,3.408,0.001,0.487,772.551,9.835e-4,0.977
8.91,2246.871,320.404,1.509e4,239.789,188.788,3.4,0.002,0.395,771.19,9.821e-4,0.969
8.96,2260.899,317.875,1.509e4,239.679,188.788,3.393,0.002,0.304,769.84,9.807e-4,0.962
9.01,2274.811,315.405,1.509e4,239.574,188.788,3.386,6.777e-4,0.214,768.501,9.794e-4,0.954
9.06,2288.611,312.99,1.509e4,239.468,188.788,3.379,6.777e-4,0.124,767.172,9.78e-4,0.947
9.11,2302.301,310.622,1.509e4,239.351,188.788,3.371,0.003,0.035,765.855,9.766e-4,0.94
9.16,2315.882,308.299,1.509e4,239.246,188.788,3.364,0.003,-0.053,764.547,9.753e-4,0.933
